Order ID,Customer Name,Category,Sub Category,Quantity,Region,City,Order Date,Actual Price,Discount,Payment mode,Sales,Profit,Rating
OD31,Ramesh,Beverages,Soft Drinks,4,East,Dharmapuri,08/04/22,"₹2,287.80 ",24.00%,Cash,"₹1,845.00 ",₹166.05 ,4
OD32,Mathew,Snacks,Noodles,1,East,Vellore,26/03/23,"₹1,554.00 ",11.00%,Upi,"₹1,400.00 ",₹420.00 ,2
OD33,Akash,Oil & Masala,Edible Oil & Ghee,7,East,Trichy,15/04/22,"₹2,725.38 ",26.00%,Card,"₹2,163.00 ",₹670.53 ,2
OD34,Anu,Oil & Masala,Masalas,1,East,Madurai,04/01/23,"₹2,263.26 ",34.00%,Upi,"₹1,689.00 ",₹337.80 ,4
OD35,Anu,Beverages,Health Drinks,6,Central,Vellore,01/10/21,"₹1,067.88 ",32.00%,Card,₹809.00 ,₹80.90 ,4
OD36,Sabeela,"Eggs, Meat & Fish",Eggs,7,Central,Tirunelveli,19/04/22,"₹1,543.30 ",22.00%,Card,"₹1,265.00 ",₹569.25 ,4
OD37,James,Beverages,Soft Drinks,6,Central,Salem,11/02/22,"₹1,260.90 ",35.00%,Cash,₹934.00 ,₹56.04 ,3
OD38,Willams,Fruits & Veggies,Organic Vegetables,4,Central,Ramanadhapuram,10/01/22,"₹1,570.64 ",16.00%,Card,"₹1,354.00 ",₹446.82 ,5
OD39,Jonas,Fruits & Veggies,Fresh Fruits,5,Central,Chennai,01/08/21,"₹2,083.69 ",19.00%,Cash,"₹1,751.00 ",₹280.16 ,2
OD40,Sabeela,"Eggs, Meat & Fish",Chicken,2,Central,Cumbum,19/04/23,"₹2,515.35 ",23.00%,Cash,"₹2,045.00 ",₹879.35 ,4
OD41,Malik,Beverages,Health Drinks,9,Central,Namakkal,28/05/21,₹785.40 ,19.00%,Card,₹660.00 ,₹92.40 ,4
OD42,Arutra,Beverages,Soft Drinks,8,Central,Salem,21/11/22,"₹2,204.24 ",18.00%,Upi,"₹1,868.00 ",₹616.44 ,2
OD43,Sharon,Snacks,Cookies,1,West,Bodi,06/05/22,"₹1,271.25 ",25.00%,Upi,"₹1,017.00 ",₹345.78 ,4
OD44,Mathew,Snacks,Cookies,4,South,Dharmapuri,14/09/22,"₹2,773.20 ",20.00%,Upi,"₹2,311.00 ","₹1,039.95 ",4
OD45,Amrish,Bakery,Biscuits,2,Central,Krishnagiri,30/12/21,"₹1,945.71 ",17.00%,Card,"₹1,663.00 ",₹731.72 ,2
OD46,Vince,"Eggs, Meat & Fish",Eggs,2,Central,Madurai,14/06/22,"₹1,689.80 ",19.00%,Cash,"₹1,420.00 ",₹355.00 ,2
OD47,Suresh,Fruits & Veggies,Organic Vegetables,2,Central,Nagercoil,14/01/22,"₹1,853.65 ",31.00%,Cash,"₹1,415.00 ",₹509.40 ,4
OD48,Mathew,Snacks,Noodles,7,East,Chennai,15/05/21,"₹1,934.40 ",30.00%,Card,"₹1,488.00 ",₹610.08 ,5
OD49,Ridhesh,Snacks,Noodles,4,East,Pudukottai,11/01/21,₹856.68 ,18.00%,Upi,₹726.00 ,₹43.56 ,5
OD50,Amrish,Bakery,Cakes,7,Central,Ooty,10/08/21,"₹1,447.85 ",15.00%,Card,"₹1,259.00 ",₹415.47 ,3
OD51,Esther,Beverages,Soft Drinks,1,Central,Salem,12/03/23,"₹1,163.58 ",29.00%,Cash,₹902.00 ,₹153.34 ,3
OD52,Shah,Beverages,Soft Drinks,4,Central,Salem,27/05/21,"₹2,997.80 ",30.00%,Cash,"₹2,306.00 ",₹553.44 ,3
OD53,Sudha,Bakery,Cakes,6,Central,Theni,09/04/22,"₹1,686.23 ",19.00%,Card,"₹1,417.00 ",₹99.19 ,5
OD54,Yusuf,Fruits & Veggies,Fresh Vegetables,4,East,Madurai,14/06/23,₹833.91 ,33.00%,Upi,₹627.00 ,₹181.83 ,5
OD55,Esther,Fruits & Veggies,Organic Fruits,2,East,Nagercoil,06/03/22,₹972.80 ,28.00%,Upi,₹760.00 ,₹60.80 ,5
OD56,Muneer,Food Grains,Atta & Flour,2,East,Salem,08/05/21,"₹2,702.50 ",15.00%,Card,"₹2,350.00 ",₹611.00 ,2
OD57,Komal,"Eggs, Meat & Fish",Fish,9,East,Krishnagiri,17/07/22,"₹1,579.86 ",34.00%,Cash,"₹1,179.00 ",₹271.17 ,4
OD58,Veena,Food Grains,Dals & Pulses,8,East,Trichy,29/03/22,"₹2,192.40 ",35.00%,Upi,"₹1,624.00 ",₹194.88 ,4
OD59,Sharon,"Eggs, Meat & Fish",Mutton,4,East,Trichy,27/06/21,"₹1,776.60 ",35.00%,Upi,"₹1,316.00 ",₹421.12 ,2
OD60,Shree,Beverages,Health Drinks,3,East,Coimbatore,20/10/22,"₹2,375.52 ",12.00%,Card,"₹2,121.00 ",₹678.72 ,3
OD61,Roshan,Oil & Masala,Masalas,9,East,Virudhunagar,19/06/23,"₹1,827.84 ",28.00%,Upi,"₹1,428.00 ",₹271.32 ,4
OD62,Willams,Snacks,Noodles,5,East,Perambalur,22/06/22,₹938.98 ,33.00%,Upi,₹706.00 ,₹289.46 ,3
OD63,Sudeep,"Eggs, Meat & Fish",Fish,1,West,Dharmapuri,09/10/22,"₹1,151.25 ",25.00%,Card,₹921.00 ,₹184.20 ,5
OD64,Yusuf,Fruits & Veggies,Fresh Fruits,4,West,Trichy,11/07/21,"₹2,280.71 ",31.00%,Cash,"₹1,741.00 ",₹661.58 ,5
OD65,Willams,"Eggs, Meat & Fish",Eggs,1,West,Madurai,08/02/21,₹740.54 ,22.00%,Cash,₹607.00 ,₹200.31 ,2
OD66,Muneer,"Eggs, Meat & Fish",Mutton,7,West,Tirunelveli,16/03/23,"₹2,280.00 ",25.00%,Card,"₹1,824.00 ",₹766.08 ,4
OD67,Vinne,Food Grains,Atta & Flour,2,Central,Madurai,11/06/22,"₹1,518.48 ",11.00%,Card,"₹1,368.00 ",₹383.04 ,3
OD68,Roshan,Fruits & Veggies,Fresh Vegetables,4,West,Pudukottai,26/11/22,"₹1,345.60 ",16.00%,Card,"₹1,160.00 ",₹510.40 ,5
OD69,Ramesh,Food Grains,Atta & Flour,4,West,Viluppuram,15/10/21,"₹1,591.62 ",23.00%,Card,"₹1,294.00 ",₹77.64 ,3
OD70,Peer,Oil & Masala,Masalas,3,South,Ooty,05/05/22,"₹1,404.48 ",14.00%,Cash,"₹1,232.00 ",₹554.40 ,3
OD71,Verma,"Eggs, Meat & Fish",Mutton,6,East,Kanyakumari,26/06/21,"₹1,302.14 ",31.00%,Upi,₹994.00 ,₹357.84 ,2
OD72,Yusuf,Snacks,Noodles,9,Central,Kanyakumari,12/06/23,"₹2,912.24 ",18.00%,Upi,"₹2,468.00 ","₹1,011.88 ",2
OD73,Alan,Snacks,Cookies,3,South,Theni,23/06/21,₹915.67 ,27.00%,Card,₹721.00 ,₹100.94 ,2
OD74,Vidya,Fruits & Veggies,Organic Vegetables,9,South,Vellore,11/01/23,"₹2,873.75 ",21.00%,Cash,"₹2,375.00 ",₹475.00 ,3
OD75,Arvind,Beverages,Soft Drinks,3,South,Vellore,14/01/23,"₹2,220.45 ",13.00%,Upi,"₹1,965.00 ",₹117.90 ,5
OD76,Veronica,Beverages,Soft Drinks,6,Central,Bodi,11/05/21,"₹1,667.68 ",12.00%,Upi,"₹1,489.00 ",₹193.57 ,3
OD77,Arvind,Fruits & Veggies,Organic Fruits,4,Central,Ooty,29/09/21,"₹1,587.50 ",27.00%,Card,"₹1,250.00 ",₹75.00 ,2
OD78,Anu,Snacks,Noodles,5,Central,Coimbatore,19/02/21,"₹1,778.98 ",31.00%,Cash,"₹1,358.00 ",₹488.88 ,3
OD79,Haseena,Snacks,Cookies,2,Central,Vellore,10/03/21,₹862.80 ,20.00%,Cash,₹719.00 ,₹64.71 ,3
OD80,Veena,Fruits & Veggies,Organic Fruits,4,South,Chennai,27/11/22,"₹2,901.78 ",26.00%,Upi,"₹2,303.00 ",₹621.81 ,5
OD81,Kumar,Beverages,Health Drinks,4,South,Kanyakumari,25/08/21,"₹2,716.18 ",34.00%,Cash,"₹2,027.00 ",₹912.15 ,4
OD82,Amy,Food Grains,Atta & Flour,6,West,Bodi,02/08/23,"₹2,243.31 ",29.00%,Cash,"₹1,739.00 ",₹765.16 ,5
OD83,Komal,Oil & Masala,Spices,2,West,Cumbum,30/01/21,"₹1,247.40 ",26.00%,Upi,₹990.00 ,₹227.70 ,4
OD84,Ravi,Beverages,Soft Drinks,2,South,Dharmapuri,11/12/22,"₹2,612.94 ",11.00%,Upi,"₹2,354.00 ",₹682.66 ,3
OD85,Amy,Fruits & Veggies,Organic Fruits,6,Central,Bodi,27/06/21,"₹1,148.40 ",10.00%,Upi,"₹1,044.00 ",₹344.52 ,3
OD86,Willams,Oil & Masala,Spices,9,South,Dindigul,25/03/21,"₹2,661.25 ",25.00%,Cash,"₹2,129.00 ",₹659.99 ,2
OD87,Sharon,Food Grains,Rice,3,Central,Theni,24/04/22,"₹1,934.90 ",10.00%,Card,"₹1,759.00 ",₹615.65 ,5
OD88,Ramesh,"Eggs, Meat & Fish",Eggs,9,Central,Viluppuram,11/03/23,"₹2,095.38 ",26.00%,Card,"₹1,663.00 ",₹665.20 ,4
OD89,Sheeba,Bakery,Breads & Buns,9,Central,Perambalur,16/08/22,"₹2,554.31 ",21.00%,Card,"₹2,111.00 ",₹189.99 ,3
OD90,Krithika,Food Grains,Dals & Pulses,3,West,Madurai,23/01/23,"₹2,103.36 ",12.00%,Card,"₹1,878.00 ",₹450.72 ,4
OD91,Willams,"Eggs, Meat & Fish",Chicken,3,West,Ooty,20/04/22,"₹1,030.46 ",34.00%,Card,₹769.00 ,₹46.14 ,3
OD92,Roshan,Beverages,Health Drinks,3,West,Virudhunagar,18/04/23,"₹1,414.74 ",14.00%,Cash,"₹1,241.00 ",₹409.53 ,5
OD93,Ravi,Food Grains,Atta & Flour,1,Central,Madurai,06/06/22,"₹2,425.92 ",14.00%,Card,"₹2,128.00 ",₹383.04 ,3
OD94,Ram,Fruits & Veggies,Fresh Fruits,2,Central,Namakkal,25/04/21,"₹3,001.81 ",33.00%,Upi,"₹2,257.00 ",₹270.84 ,5
OD95,Mathew,Snacks,Chocolates,2,Central,Bodi,29/11/22,"₹1,644.80 ",28.00%,Cash,"₹1,285.00 ",₹218.45 ,3
OD96,Veena,"Eggs, Meat & Fish",Fish,5,West,Virudhunagar,29/01/21,"₹1,389.90 ",13.00%,Cash,"₹1,230.00 ",₹442.80 ,2
OD97,Sudha,Food Grains,Atta & Flour,9,East,Ooty,25/07/22,"₹2,245.76 ",21.00%,Upi,"₹1,856.00 ",₹723.84 ,4
OD98,Sharon,Fruits & Veggies,Fresh Fruits,3,West,Trichy,10/04/22,₹713.95 ,31.00%,Cash,₹545.00 ,₹125.35 ,3
OD99,Vince,Snacks,Chocolates,3,Central,Dharmapuri,27/02/22,"₹2,945.28 ",28.00%,Card,"₹2,301.00 ",₹391.17 ,4
OD100,Krithika,Oil & Masala,Spices,9,Central,Chennai,14/01/23,"₹1,858.50 ",26.00%,Card,"₹1,475.00 ",₹531.00 ,3
OD101,Adavan,Bakery,Cakes,8,Central,Coimbatore,24/01/22,"₹2,859.30 ",35.00%,Cash,"₹2,118.00 ",₹910.74 ,2
OD102,Roshan,Beverages,Soft Drinks,9,Central,Coimbatore,02/02/23,"₹1,786.59 ",17.00%,Upi,"₹1,527.00 ",₹671.88 ,2
OD103,Vinne,Snacks,Chocolates,2,Central,Nagercoil,20/06/22,₹669.06 ,18.00%,Card,₹567.00 ,₹175.77 ,5
OD104,Amy,Fruits & Veggies,Fresh Fruits,9,West,Ramanadhapuram,21/01/23,"₹1,230.63 ",27.00%,Card,₹969.00 ,₹184.11 ,5
OD105,Suresh,Food Grains,Dals & Pulses,7,West,Karur,27/09/22,"₹2,622.00 ",14.00%,Card,"₹2,300.00 ","₹1,035.00 ",5
OD106,Komal,Oil & Masala,Masalas,7,West,Kanyakumari,06/01/23,"₹2,094.75 ",33.00%,Card,"₹1,575.00 ",₹78.75 ,5
OD107,Sundar,Beverages,Health Drinks,6,South,Cumbum,17/05/23,₹604.80 ,12.00%,Card,₹540.00 ,₹108.00 ,2
OD108,Willams,Snacks,Cookies,9,South,Tirunelveli,19/10/22,₹718.24 ,34.00%,Upi,₹536.00 ,₹176.88 ,2
OD109,Vidya,"Eggs, Meat & Fish",Eggs,9,South,Tirunelveli,20/02/21,₹672.76 ,21.00%,Cash,₹556.00 ,₹155.68 ,4
OD110,Shree,Fruits & Veggies,Fresh Fruits,2,Central,Coimbatore,29/10/21,"₹1,367.64 ",16.00%,Cash,"₹1,179.00 ",₹271.17 ,3
OD111,Sundar,Food Grains,Dals & Pulses,9,East,Namakkal,04/09/22,"₹1,665.44 ",12.00%,Cash,"₹1,487.00 ",₹505.58 ,2
OD112,Arvind,Bakery,Breads & Buns,8,Central,Pudukottai,15/05/21,"₹2,442.00 ",10.00%,Card,"₹2,220.00 ",₹111.00 ,3
OD113,Ravi,Oil & Masala,Edible Oil & Ghee,8,Central,Dindigul,02/03/21,"₹2,801.50 ",30.00%,Card,"₹2,155.00 ",₹581.85 ,4
OD114,Vinne,Fruits & Veggies,Fresh Vegetables,7,East,Krishnagiri,04/06/21,"₹1,269.40 ",10.00%,Cash,"₹1,154.00 ",₹69.24 ,5
OD115,Muneer,Snacks,Noodles,8,East,Salem,08/10/22,"₹2,686.20 ",11.00%,Cash,"₹2,420.00 ",₹242.00 ,2
OD116,Rumaiza,Snacks,Chocolates,4,East,Karur,30/12/21,"₹1,618.20 ",24.00%,Card,"₹1,305.00 ",₹287.10 ,5
OD117,Hussain,Fruits & Veggies,Organic Fruits,5,East,Bodi,24/02/21,"₹1,112.40 ",20.00%,Upi,₹927.00 ,₹157.59 ,2
OD118,Arvind,Fruits & Veggies,Organic Vegetables,7,West,Viluppuram,01/04/23,"₹1,091.13 ",11.00%,Upi,₹983.00 ,₹186.77 ,3
OD119,Akash,Food Grains,Rice,6,South,Chennai,22/06/23,₹993.30 ,10.00%,Card,₹903.00 ,₹90.30 ,2
OD120,Ganesh,"Eggs, Meat & Fish",Chicken,3,East,Cumbum,02/09/21,"₹1,383.20 ",12.00%,Cash,"₹1,235.00 ",₹74.10 ,5
OD121,Alan,Fruits & Veggies,Organic Vegetables,7,East,Tirunelveli,13/06/21,"₹1,541.32 ",24.00%,Cash,"₹1,243.00 ",₹174.02 ,2
OD122,Harish,Bakery,Cakes,3,East,Krishnagiri,26/06/22,₹869.66 ,34.00%,Upi,₹649.00 ,₹201.19 ,4
OD123,Veronica,"Eggs, Meat & Fish",Mutton,5,East,Tenkasi,02/10/21,"₹2,612.94 ",11.00%,Cash,"₹2,354.00 ",₹188.32 ,3
OD124,Anu,Beverages,Soft Drinks,3,East,Cumbum,06/10/21,"₹1,832.61 ",27.00%,Upi,"₹1,443.00 ",₹187.59 ,4
OD125,Sudeep,Bakery,Breads & Buns,6,Central,Madurai,23/02/21,"₹1,228.50 ",26.00%,Upi,₹975.00 ,₹390.00 ,2
OD126,Yusuf,Fruits & Veggies,Organic Vegetables,1,Central,Virudhunagar,13/12/22,"₹1,057.91 ",19.00%,Upi,₹889.00 ,₹71.12 ,2
OD127,Shah,"Eggs, Meat & Fish",Mutton,6,West,Karur,03/07/21,"₹2,751.84 ",17.00%,Upi,"₹2,352.00 ",₹870.24 ,5
OD128,Harish,Oil & Masala,Spices,1,West,Tirunelveli,12/03/22,"₹1,590.39 ",23.00%,Cash,"₹1,293.00 ",₹336.18 ,5
OD129,Sharon,Food Grains,Rice,6,West,Bodi,14/02/22,"₹1,880.82 ",29.00%,Cash,"₹1,458.00 ",₹597.78 ,4
OD130,Peer,Food Grains,Atta & Flour,9,West,Coimbatore,08/03/23,"₹2,197.22 ",22.00%,Cash,"₹1,801.00 ",₹126.07 ,4
OD131,Haseena,Snacks,Chocolates,9,East,Tenkasi,15/07/23,"₹1,626.69 ",29.00%,Upi,"₹1,261.00 ",₹416.13 ,4
OD132,Sundar,Beverages,Soft Drinks,6,East,Nagercoil,01/08/22,"₹2,703.36 ",28.00%,Card,"₹2,112.00 ",₹105.60 ,2
OD133,Ram,"Eggs, Meat & Fish",Fish,1,East,Ramanadhapuram,04/12/21,₹793.60 ,24.00%,Card,₹640.00 ,₹140.80 ,2
OD134,Shah,Bakery,Cakes,9,West,Tenkasi,18/02/23,"₹1,856.96 ",12.00%,Upi,"₹1,658.00 ",₹315.02 ,4
OD135,Harish,Beverages,Health Drinks,7,West,Ramanadhapuram,07/02/23,"₹2,800.14 ",18.00%,Card,"₹2,373.00 ",₹664.44 ,2
OD136,Veena,Fruits & Veggies,Organic Fruits,5,West,Cumbum,11/11/22,"₹1,701.70 ",19.00%,Cash,"₹1,430.00 ",₹514.80 ,3
OD137,Sundar,Oil & Masala,Spices,5,West,Viluppuram,25/01/23,"₹2,434.90 ",30.00%,Upi,"₹1,873.00 ",₹674.28 ,2
OD138,Jackson,"Eggs, Meat & Fish",Eggs,5,West,Theni,16/12/21,₹988.38 ,14.00%,Cash,₹867.00 ,₹329.46 ,3
OD139,Malik,Snacks,Noodles,1,West,Theni,11/01/23,"₹1,310.19 ",19.00%,Upi,"₹1,101.00 ",₹484.44 ,4
OD140,Hussain,"Eggs, Meat & Fish",Mutton,6,West,Ooty,08/09/21,"₹1,392.64 ",28.00%,Card,"₹1,088.00 ",₹424.32 ,4
OD141,Veena,Bakery,Biscuits,5,East,Perambalur,20/04/22,"₹1,143.12 ",32.00%,Card,₹866.00 ,₹381.04 ,3
OD142,Aditi,Oil & Masala,Masalas,1,West,Tirunelveli,19/03/22,"₹2,830.62 ",14.00%,Card,"₹2,483.00 ",₹223.47 ,4
OD143,Surya,Food Grains,Atta & Flour,2,West,Kanyakumari,17/07/23,"₹1,481.85 ",11.00%,Card,"₹1,335.00 ",₹293.70 ,4
OD144,Sharon,"Eggs, Meat & Fish",Fish,1,West,Tenkasi,24/10/21,₹948.60 ,24.00%,Card,₹765.00 ,₹252.45 ,3
OD145,Vinne,"Eggs, Meat & Fish",Mutton,7,Central,Tenkasi,23/06/21,"₹2,883.60 ",20.00%,Card,"₹2,403.00 ",₹624.78 ,3
OD146,Malik,Oil & Masala,Edible Oil & Ghee,7,West,Coimbatore,28/01/22,"₹1,752.63 ",13.00%,Card,"₹1,551.00 ",₹573.87 ,3
OD147,Ridhesh,Food Grains,Organic Staples,3,East,Theni,11/12/22,"₹1,986.28 ",27.00%,Card,"₹1,564.00 ",₹187.68 ,5
OD148,Harish,Fruits & Veggies,Fresh Vegetables,3,Central,Tirunelveli,03/09/21,"₹1,496.25 ",33.00%,Cash,"₹1,125.00 ",₹292.50 ,3
OD149,Veronica,Beverages,Health Drinks,7,Central,Tenkasi,27/02/23,₹844.80 ,10.00%,Cash,₹768.00 ,₹184.32 ,2
OD150,Ravi,"Eggs, Meat & Fish",Fish,9,Central,Vellore,20/05/21,"₹2,501.10 ",26.00%,Upi,"₹1,985.00 ",₹734.45 ,3
OD151,Muneer,Food Grains,Rice,8,Central,Bodi,04/06/22,"₹2,584.31 ",13.00%,Cash,"₹2,287.00 ","₹1,029.15 ",2
OD152,Jackson,Snacks,Chocolates,3,West,Pudukottai,01/09/22,"₹1,361.44 ",34.00%,Card,"₹1,016.00 ",₹335.28 ,4
OD153,Amy,Snacks,Cookies,3,West,Namakkal,05/03/22,"₹1,073.52 ",26.00%,Cash,₹852.00 ,₹76.68 ,5
OD154,Ram,Food Grains,Organic Staples,2,West,Ramanadhapuram,05/07/23,"₹1,578.24 ",28.00%,Cash,"₹1,233.00 ",₹234.27 ,4
OD155,Jonas,Snacks,Noodles,8,West,Pudukottai,06/06/21,"₹2,549.04 ",14.00%,Card,"₹2,236.00 ",₹626.08 ,2
OD156,Ramesh,Fruits & Veggies,Fresh Vegetables,3,West,Viluppuram,02/06/21,"₹2,888.16 ",32.00%,Cash,"₹2,188.00 ",₹809.56 ,3
OD157,Peer,Snacks,Cookies,4,West,Coimbatore,06/04/21,"₹1,336.80 ",20.00%,Cash,"₹1,114.00 ",₹456.74 ,3
OD158,Komal,Oil & Masala,Edible Oil & Ghee,4,West,Salem,21/03/21,"₹2,040.10 ",15.00%,Cash,"₹1,774.00 ",₹620.90 ,2
OD159,Amy,Beverages,Soft Drinks,2,Central,Karur,20/06/21,"₹2,860.44 ",21.00%,Upi,"₹2,364.00 ","₹1,040.16 ",2
OD160,Amrish,Food Grains,Dals & Pulses,5,Central,Madurai,04/02/21,"₹1,650.57 ",11.00%,Card,"₹1,487.00 ",₹148.70 ,5
OD161,Yadav,Beverages,Soft Drinks,9,West,Ooty,21/02/23,₹926.90 ,30.00%,Cash,₹713.00 ,₹192.51 ,4
OD162,Vinne,"Eggs, Meat & Fish",Fish,6,East,Kanyakumari,23/01/22,₹884.40 ,20.00%,Cash,₹737.00 ,₹280.06 ,2
OD163,Amrish,Snacks,Chocolates,2,West,Trichy,08/06/23,"₹1,265.04 ",26.00%,Card,"₹1,004.00 ",₹341.36 ,2
OD164,Hussain,Snacks,Cookies,6,West,Theni,04/01/21,"₹2,001.12 ",32.00%,Cash,"₹1,516.00 ",₹121.28 ,2
OD165,Haseena,Food Grains,Atta & Flour,3,Central,Ramanadhapuram,13/02/21,"₹1,845.76 ",28.00%,Cash,"₹1,442.00 ",₹605.64 ,4
OD166,Sudha,Beverages,Health Drinks,3,Central,Madurai,20/05/21,"₹2,247.70 ",33.00%,Cash,"₹1,690.00 ",₹422.50 ,4
OD167,Adavan,Snacks,Chocolates,7,Central,Bodi,25/07/21,"₹2,283.73 ",13.00%,Cash,"₹2,021.00 ",₹343.57 ,2
OD168,Aditi,"Eggs, Meat & Fish",Mutton,7,Central,Ooty,29/07/21,"₹2,925.00 ",25.00%,Upi,"₹2,340.00 ",₹491.40 ,2
OD169,Krithika,Oil & Masala,Spices,7,Central,Viluppuram,19/09/21,₹810.75 ,15.00%,Card,₹705.00 ,₹176.25 ,2
OD170,Sharon,"Eggs, Meat & Fish",Chicken,3,Central,Trichy,17/08/22,"₹1,458.00 ",20.00%,Card,"₹1,215.00 ",₹60.75 ,3
OD171,Akash,Food Grains,Dals & Pulses,5,Central,Krishnagiri,29/01/22,₹690.00 ,25.00%,Card,₹552.00 ,₹237.36 ,5
OD172,Sabeela,Beverages,Health Drinks,3,West,Tirunelveli,29/05/21,"₹1,567.32 ",11.00%,Cash,"₹1,412.00 ",₹564.80 ,3
OD173,Surya,Food Grains,Dals & Pulses,1,West,Tirunelveli,01/01/23,"₹1,044.12 ",32.00%,Card,₹791.00 ,₹150.29 ,3
OD174,Alan,Fruits & Veggies,Organic Vegetables,3,West,Viluppuram,30/11/21,"₹3,293.08 ",33.00%,Cash,"₹2,476.00 ",₹420.92 ,5
OD175,Aditi,Fruits & Veggies,Fresh Vegetables,1,Central,Karur,17/05/23,"₹2,218.69 ",27.00%,Cash,"₹1,747.00 ",₹471.69 ,2
